Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Myoictis,,melas
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Myoictis,,wallacii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Neophascogale,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Neophascogale,,lorentzi
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Parantechinus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Parantechinus,,apicalis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,doriae
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,bilarni
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,macdonnellensis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,mimulus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,ningbing
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,roryi
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,woolleyae
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,harrisii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,harrisii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,harrisii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,adustus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,agilis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,bellus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,flavipes
