Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis,dorsalis
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis,brevicaudata
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis,whartoni
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,bilarni,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,macdonnellensis,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,mimulus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,ningbing,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,roryi,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Pseudantechinus,,woolleyae,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,harrisii,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,harrisii,harrisii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Sarcophilus,,harrisii,dixonae
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,adustus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,agilis,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,bellus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,flavipes,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,flavipes,flavipes
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,flavipes,rubeculus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,godmani,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,leo,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,minimus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,stuartii,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,subtropicus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Antechinus,,swainsonii,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Phascogalini,Micromurexia,,,
